N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,4880,0,0.10092847316472353,0.09722415999999752,0.4186,0.2261,0.09671314285714029,0.0620827755102036,0.12780466437548196,0.8420069913457374
150000,5000,10715,0,0.11776012910362577,0.10089415999999891,0.3733,0.1731,0.09694465306122231,0.06232538775510195,0.5981638051515011,2.2431923451517393
150000,5000,8502,0,0.10002166044204919,0.09374255999999889,0.3674,0.1518,0.09263444897958976,0.06075575510204179,0.4740478553555384,2.9013120644999204
150000,5000,6224,0,0.10540851202684631,0.09957087999999814,0.4131,0.1468,0.09837314285713958,0.0627894693877557,0.24426074865456823,3.351650632436517
150000,5000,5812,0,0.12870647219666065,0.10054647999999873,0.3982,0.1714,0.09876367346938521,0.056467999999999845,0.4066178128327029,1.7413512558865618
150000,5000,7927,0,0.2118829079525394,0.10061319999999843,0.3889,0.0935,0.09622277551020211,0.03463967346938814,0.39672231250550033,2.410306127387637
150000,5000,9904,0,0.30211519191009595,0.09636031999999907,0.371,0.0556,0.09689134693877333,0.006399673469387684,0.6222281242686047,-1.7665084160817817
150000,5000,8353,0,0.16927395533474687,0.10133567999999898,0.3966,0.1108,0.09509648979591585,0.04889404081632679,0.27126131312032137,3.5714023221601905
150000,5000,7219,0,0.1005076996923131,0.094578079999999,0.3772,0.146,0.09256310204081426,0.06204236734693933,0.3634303352373108,3.306148136999631
150000,5000,10665,0,0.34264834085567664,0.09932199999999906,0.369,0.0257,0.09504497959183446,0.002209795918367342,0.5633295409965449,-2.2272921814260718
150000,5000,11440,0,0.2337906225288091,0.09122231999999873,0.3819,0.0921,0.09143061224489563,0.02187126530612253,0.26518738388416896,0.23277934365243383
150000,5000,7168,0,0.22545226105190286,0.10275663999999882,0.4039,0.1205,0.09993102040816085,0.029963755102040322,0.3966085688737249,0.41629170594872617
150000,5000,7399,0,0.2072300641872763,0.10300759999999838,0.4013,0.1117,0.10160987755101777,0.03367722448979655,0.4915919530805525,1.2816902957962755
150000,5000,8437,0,0.1450189442409795,0.09682239999999881,0.3958,0.1445,0.09495836734693555,0.04963542857142983,0.2734879710939321,1.9709825608071603
150000,5000,5333,0,0.12695568023895132,0.1001714399999992,0.4015,0.183,0.0980884081632627,0.05711575510204139,0.34555014528190214,1.4571365333309079
150000,5000,11587,0,0.18040659836371065,0.09935935999999816,0.3891,0.1295,0.0987941224489772,0.03918253061224427,0.5031092422259846,1.2997426957677962
150000,5000,7821,0,0.17222416383028283,0.10437151999999802,0.4054,0.1521,0.09961518367346676,0.04779044897959183,0.36879408012895376,1.4909802747346996
150000,5000,6283,0,0.08547133453161004,0.09957231999999896,0.4027,0.2029,0.09975044897958955,0.06803240816326521,0.40134936934369503,1.837787581151119
150000,5000,7411,0,0.24434566695511184,0.10562351999999842,0.4011,0.105,0.09873248979591559,0.029551591836734826,0.3759079598512397,0.953024649635665
150000,5000,10303,0,0.1586634824016503,0.10565839999999863,0.4128,0.126,0.10073657142856841,0.052706204081633,0.3410848170902152,3.196115928286151
150000,5000,8821,0,0.35020000366682935,0.1021999999999988,0.395,0.0002,0.09832016326530373,4.979591836734694e-05,0.4211669101081856,0.2055806120913711
150000,5000,10584,0,0.1631007300801839,0.10942063999999839,0.3984,0.155,0.10307575510203862,0.0543896326530608,0.5822398109094216,2.092645563261662
150000,5000,8125,0,0.3051197234800096,0.1013392799999991,0.3998,0.1002,0.09615371428571179,0.011757714285714139,0.28316694939291737,-1.734347960429656
150000,5000,9233,0,0.3355375080160574,0.09813543999999892,0.3544,0.0943,0.09026334693877333,0.007386204081632714,0.5160220901199897,-2.3727745655236143
150000,5000,11530,0,0.24680045628477099,0.0987939999999983,0.3598,0.1047,0.09208726530612059,0.02727681632653057,0.5364922084757705,0.610391777085973
150000,5000,7281,0,0.16367557275683164,0.09949223999999844,0.4081,0.122,0.09892065306122164,0.044087918367348,0.31417373404436,2.263112911436822
150000,5000,5783,0,0.16301714901657482,0.10016319999999812,0.4316,0.1187,0.10304440816326285,0.04112351020408129,0.2543780695097036,2.018384718464067
150000,5000,8146,0,0.14043668389384945,0.10227559999999859,0.3847,0.1131,0.10331493877550836,0.05085820408163208,0.7436658058757721,3.709097110019761
150000,5000,9094,0,0.10114570581088089,0.10229071999999867,0.387,0.1916,0.09952653061224268,0.06747126530612393,0.5567870905273135,2.1139034685351157
150000,5000,8877,0,0.2265804879472899,0.0976103199999987,0.3791,0.1423,0.09559330612244697,0.02750293877551049,0.4744449923093832,-0.4913940373317316
150000,5000,9287,0,0.13831068896238674,0.09508199999999829,0.3885,0.0988,0.0935675918367324,0.050384571428571216,0.28871963682542273,4.694817346061152
150000,5000,7602,0,0.28905001392147744,0.09714471999999873,0.389,0.0975,0.09577681632652825,0.011379673469387704,0.37686038199721167,-1.7444748884002428
150000,5000,7913,0,0.2017173409595222,0.09426911999999868,0.3764,0.1709,0.09190440816326335,0.03333869387755109,0.34326633325465633,-0.4620179182775051
150000,5000,6807,0,0.1285877925559008,0.10133639999999876,0.4014,0.1262,0.09951208163265074,0.05697689795918404,0.40476904310444284,3.739788214873539
150000,5000,7331,0,0.1538843587638662,0.10531903999999874,0.4036,0.1908,0.10010734693877305,0.05434848979591844,0.40679859978679955,1.0101236778992098
150000,5000,11250,0,0.2626790676645743,0.10833839999999857,0.3951,0.1071,0.10018424489795676,0.02634065306122456,0.4975774143548863,0.3716453128516797
150000,5000,7854,0,0.35224189786746174,0.09740799999999862,0.3751,0.0,0.09332179591836569,0.0,0.4191785578940615,nan
150000,5000,8877,0,0.14442765688353787,0.10280335999999843,0.3755,0.15,0.09675224489795696,0.05695902040816385,0.5647819264435021,2.565041178262736
150000,5000,7611,0,0.1307327345360857,0.09855191999999825,0.3876,0.1619,0.09710081632652821,0.054425632653061225,0.44752680549324214,1.851281926848338
150000,5000,7879,0,0.10735135783308025,0.10024743999999884,0.3997,0.1546,0.09964285714285441,0.06197836734693866,0.4274464728905812,2.912234431050541
150000,5000,7898,0,0.15818564853013717,0.10619263999999914,0.4082,0.1557,0.10341053061224281,0.050959346938775296,0.4937524839040078,1.705615824399584
